session,horizon,n_universe,mkt_ret,mkt_ret_bps,gate_state,sign,truth_state
2026-02-23,3,527,0.010755371176798466,107.55371176798467,Bullish,1,Bullish
2026-02-23,5,527,0.008734328288437678,87.34328288437678,Range,1,Bullish
2026-02-24,1,521,0.01625561247041118,162.55612470411182,Bearish,1,Bullish
2026-02-24,3,521,0.03461928011893219,346.1928011893219,Bearish,1,Bullish
2026-02-24,5,521,0.02681350072598742,268.1350072598742,Range,1,Bullish
2026-02-25,1,542,0.0023034392002406314,23.034392002406314,Bullish,1,Range
2026-02-25,3,542,0.0015755617782770826,15.755617782770827,Range,1,Range
2026-02-25,5,542,-0.009430840555368417,-94.30840555368417,Bullish,-1,Bearish
2026-02-26,1,552,0.009607093353431365,96.07093353431365,Bullish,1,Bullish
2026-02-26,3,552,0.00461127042417693,46.1127042417693,Bullish,1,Range
2026-02-26,5,552,-0.001056749096770306,-10.56749096770306,Bullish,-1,Range
2026-02-27,1,554,0.002810094752389833,28.10094752389833,Range,1,Bullish
2026-02-27,3,554,-0.007714934460930535,-77.14934460930534,Range,-1,Bearish
2026-02-27,5,554,-0.002159681907946934,-21.596819079469338,Range,-1,Range
2026-03-02,1,512,0.019452632240761512,194.5263224076151,Range,1,Bullish
2026-03-02,3,512,0.014513450688448018,145.13450688448017,Range,1,Bullish
2026-03-02,5,512,-0.008025488478137785,-80.25488478137785,Bullish,-1,Bearish
2026-03-03,1,509,0.00895103078057767,89.5103078057767,Range,1,Bullish
2026-03-03,3,509,0.015479596542164515,154.79596542164515,Range,1,Bullish
2026-03-03,5,509,0.007971588142637655,79.71588142637655,Bullish,1,Bullish
2026-03-04,1,524,0.004324128241482227,43.241282414822265,Bearish,1,Bullish
2026-03-04,3,524,-0.01779793493466474,-177.97934934664738,Bearish,-1,Bearish
2026-03-04,5,524,-0.015433075258680002,-154.33075258680003,Range,-1,Bearish
2026-03-05,1,529,0.0002340395894934257,2.340395894934257,Range,1,Range
2026-03-05,3,529,-0.0076152342605979315,-76.15234260597931,Bearish,-1,Bearish
2026-03-05,5,529,-0.036040369255214616,-360.40369255214614,Range,-1,Bearish
2026-03-06,1,535,-0.0017477445533440918,-17.477445533440918,Bearish,-1,Range
2026-03-06,3,535,0.0014087256942995736,14.087256942995735,Bearish,1,Range
2026-03-06,5,535,-0.023168850687946482,-231.68850687946482,Range,-1,Bearish
2026-03-09,1,478,0.02130269122325231,213.0269122325231,Bearish,1,Bullish
2026-03-09,3,478,-0.0057877962005679255,-57.87796200567926,Range,-1,Bearish
2026-03-09,5,478,0.003209140933967906,32.09140933967906,Range,1,Range
2026-03-11,1,536,-0.001725617535536658,-17.25617535536658,Range,-1,Range
2026-03-11,3,536,-0.02592082178959862,-259.2082178959862,Range,-1,Bearish
2026-03-11,5,536,-0.02284183086228277,-228.4183086228277,Range,-1,Bearish
